id|palavra|significado|contexto|categoria|relacionada1,relacionada2,relacionada3,relacionadas4,relacionadas5
14|heranca|Mecanismo que permite que uma nova classe adquira as propriedades e metodos de uma classe existente.|Permite o reaproveitamento de codigo e a criacao de hierarquias complexas de objetos.|Programacao|classe,objeto,polimorfismo,extensao,codigo
15|bit|A menor unidade de informacao num computador, podendo assumir apenas o valor 0 ou 1.|Base de toda a computacao digital e da arquitetura de processadores.|Informatica|binario,byte,dados,computacao,digito
16|hashing|Processo de transformar uma grande quantidade de dados numa string ou valor de tamanho fixo mais curto.|Usado em tabelas de dispersao para busca instatanea e na verificacao de integridade de ficheiros.|Algoritmos|tabela,chave,colisao,funcao,busca
17|sintaxe|Conjunto de regras que definem as combinacoes corretas de simbolos de uma linguagem de programacao.|O erro de sintaxe impede a compilacao do codigo fonte pelo compilador.|Programacao|regra,codigo,gramatica,erro,compilador
18|api|Conjunto de rotinas e padroes estabelecidos por um software para utilizacao das suas funcionalidades por outros.|Permite a integracao entre sistemas diferentes, como ligar um site a um sistema de pagamentos.|Informatica|interface,integracao,sistema,web,servico
19|polimorfismo|Capacidade de um objeto assumir diferentes formas ou responder a mesma mensagem de maneiras distintas.|Utilizado para invocar metodos especificos em subclasses usando uma referencia da classe pai.|Programacao|classe,objeto,heranca,metodo,interface
20|hardware|A parte fisica de um computador, composta por circuitos, cabos, placas e componentes eletronicos.|Trabalha em conjunto com o software para executar as instrucoes de um utilizador.|Informatica|fisico,circuito,processador,memoria,placa
21|abajur|Objeto decorativo com uma cupula que serve para resguardar a luz de uma lampada.|Colocado sobre a mesa de cabeceira para leitura noturna.|Quotidiano|luminaria,luz,quarto,lampada,noite
22|abstracao|Processo de isolar um elemento ou propriedade de um objeto para focar no essencial.|Pilar da programacao orientado a objetos que esconde detalhes complexos.|Informatica|classe,objeto,logica,modelo,conceito
23|arquivo|Colecao organizada de documentos ou dados guardados para uso posterior.|O utilizador guardou o relatorio num arquivo digital protegido.|Quotidiano|documento|pasta,registo,memoria,ficheiro
24|banco|Instituicao financeira que lida com depositos, emprestimos e transacoes de dinheiro.|Preciso ir ao banco para levantar dinheiro e pagar as contas.|Quotidiano|dinheiro,cartao,conta,cofre,financas
25|backup|Copia de seguranca de dados digitais feita para prevenir a perda de informacao.|E uma boa pratica fazer backup semanal dos arquivos do projeto.|Informatica|copia,seguranca,dados,nuvem,recuperacao
26|bicicleta|Veiculo de duas rodas movido pelo esforco muscular do proprio condutor.|Uso a bicicleta para ir para a faculdade e praticar exercicio.|Quotidiano|rodas,pedal,transporte,esporte,saude
27|cadeira|Movel com assento e encosto destinado a servir de assento para uma pessoa.|Comprei uma cadeira ergonomica para trabalhar no computador.|Quotidiano|assento,movel,mesa,conforto,escritorio
28|cache|Memoria de acesso ultra rapido que armazena dados temporarios muito utilizados.|O navegador web limpa a cache para carregar as paginas atualizadas.|Informatica|memoria,rapidez,dados,hardware,processador
29|calculadora|Dispositivo eletronico ou mecanico usado para efetuar operacoes matematicas.|Utilizei a calculadora para conferir a media final da disciplina.|Quotidiano|numero,conta,matematica,soma,subtracao
30|dados|Fatos ou informacoes brutas que podem ser processados por um computador.|A base de dados armazena as informacoes de todos os utilizadores.|Informatica|informacao,registo,arquivo,memoria,sistema
31|dicionario|Livro ou arquivo digital que contem o significado das palavras de uma lingua.|Este projeto consiste em criar um dicionario usando uma árvore Trie.|Quotidiano|palavra,significado,livro,trie,idioma
32|dominio|Nome exclusivo que serve para identificar um site na rede internet.|O dominio da nossa universidade termina em ponto edu ou ponto pt.|Informatica|site,web,internet,endereco,url
33|elevador|Mecanismo de transporte vertical usado para mover pessoas entre andares.|O elevador do bloco de aulas avariou esta manha.|Quotidiano|predio,andar,transporte,vertical,escada
34|escopo|Ambiente de visibilidade ou limite de atuacao de uma variavel ou projeto.|A variavel declarada dentro da funcao tem escopo local.|Informatica|limite,variavel,funcao,codigo,bloco
35|escola|Instituicao destinada ao ensino e a aprendizagem de alunos e estudantes.|A escola primaria onde estudei ficava perto da minha casa.|Quotidiano|ensino,professor,aluno,aula,educacao
36|framework|Conjunto de ferramentas e bibliotecas que servem de base para criar software.|Usamos um framework moderno para acelerar o desenvolvimento do site.|Informatica|codigo,base,biblioteca,ferramenta,desenvolvimento
37|funcao|Bloco de codigo reutilizavel que executa uma tarefa especifica e retorna algo.|Escrevi uma funcao em C para ler o ficheiro do dicionario.|Informatica|codigo,retorno,parametro,subrotina,logica
38|futebol|Desporto coletivo jogado com uma bola entre duas equipas de onze jogadores.|Fomos ao estadio assistir ao grande jogo de futebol no sabado.|Quotidiano|bola,golo,estadio,equipa,jogo
39|garrafa|Recipiente de vidro ou plastico usado para armazenar e transportar liquidos.|Mantenho sempre uma garrafa de agua fresca na minha mesa de estudo.|Quotidiano|agua,liquido,vidro,plastico,bebida
40|gateway|Dispositivo que estabelece a ligacao e comunicacao entre duas redes diferentes.|O router da operadora serve como gateway para a internet da casa.|Informatica|rede,router,conexao,internet,protocolo
41|geladeira|Eletrodomestico que serve para conservar alimentos a baixas temperaturas.|Coloquei os sumos e as frutas na geladeira para ficarem frescos.|Quotidiano|frio,alimento,cozinha,gelo,conservacao
42|hd|Dispositivo de armazenamento magnetico nao volatil usado em computadores.|Substitui o meu antigo HD por um SSD para o sistema iniciar mais rapido.|Informatica|memoria,disco,armazenamento,dados,ficheiro
43|html|Linguagem de marcacao utilizada para estruturar os blocos de uma pagina web.|O programador usou HTML para criar a estrutura basica do site.|Informatica|site,web,pagina,tag,marcacao
44|hotel|Estabelecimento que oferece alojamento e refeicoes a viajantes e turistas.|Ficamos hospedados num hotel muito confortavel perto da praia.|Quotidiano|viagem,quarto,turismo,alojamento,ferias
45|ide|Ambiente de desenvolvimento integrado que reune ferramentas para programar.|Uso o VS Code como IDE principal para escrever os programas em C.|Informatica|editor,codigo,compilador,ferramenta,desenvolvimento
46|impressora|Periferico que verte textos ou imagens do computador para o papel.|Preciso de ligar a impressora para imprimir o relatorio do projeto.|Informatica|papel,tinta,periferico,hardware,documento
47|internet|Rede mundial de computadores interligados que partilham dados e servicos.|A internet falhou mesmo no momento em que enviava o trabalho.|Quotidiano|rede,web,conexao,online,computador
48|janela|Abertura na parede de um edificio que permite a entrada de luz e ar.|Abri a janela do quarto para o ar circular durante a tarde.|Quotidiano|parede,vidro,ar,luz,casa
49|java|Linguagem de programacao orientada a objetos muito utilizada em sistemas empresariais.|Aprendemos a sintaxe basica de Java no semestre passado.|Informatica|linguagem,codigo,objeto,programacao,virtual
50|jogo|Atividade fisica ou mental com regras que serve para entretenimento ou desporto.|Passamos a noite a jogar um jogo de tabuleiro muito divertido.|Quotidiano|diversao,regras,tabuleiro,carta,entretenimento
51|kernel|Nucleo do sistema operativo que faz a ponte entre o hardware e o software.|O kernel do Linux gerencia a memoria de forma muito eficiente.|Informatica|sistema,nucleo,linux,hardware,memoria
52|keylog|Software malicioso que regista todas as teclas premidas pelo utilizador.|O antivírus detetou um keylog que tentava roubar senhas do banco.|Informatica|virus,malware,seguranca,teclado,ataque
53|kilobyte|Unidade de medida de dados digitais equivalente a mil e vinte e quatro bytes.|O ficheiro de texto do dicionario ocupa apenas alguns kilobytes.|Informatica|medida,byte,dados,memoria,tamanho
54|lan|Rede de area local que interliga computadores num espaco fisico restrito.|Configuramos uma LAN na sala para jogar em rede com os colegas.|Informatica|rede,local,conexao,cabo,computador
55|livro|Colecao de folhas de papel impressas e reunidas numa capa com texto.|Estou a ler um livro excelente sobre algoritmos avançados.|Quotidiano|leitura,pagina,texto,biblioteca,autor
56|loop|Estrutura de controlo que repete um bloco de instrucoes enquanto for verdade.|Usei um loop while para ler as linhas do ficheiro ate ao fim.|Informatica|repeticao,while,for,codigo,instrucao
57|main|Funcao principal de um programa em C por onde comeca a execucao.|O codigo do dicionario deve ser chamado a partir da funcao main.|Informatica|funcao,inicio,codigo,execucao,programa
58|memoria|Componente do computador que armazena dados de forma temporaria ou permanente.|A árvore Trie fica guardada na memoria RAM enquanto o programa corre.|Informatica|ram,armazenamento,dados,hardware,processador
59|mesa|Movel com tampo horizontal sustentado por pes usado para apoiar objetos.|Coloquei os meus livros e o computador em cima da mesa.|Quotidiano|movel,cadeira,sala,apoio,escritorio
60|no|Estrutura fundamental de uma arvore ou lista que contem dados e ponteiros.|Cada no da arvore Trie contem um vetor de ponteiros para os filhos.|Informatica|ponteiro,arvore,lista,estrutura,elemento
61|notbook|Computador portatil que integra ecra teclado e bateria numa unica unidade.|Levei o meu notebook para a biblioteca para terminar o trabalho.|Quotidiano|computador,portatil,tecnologia,estudo,bateria
62|nuvem|Servico de armazenamento e processamento de dados feito atraves da internet.|Guardo o codigo fonte do meu projeto na nuvem para nao perder.|Informatica|armazenamento,internet,servidor,backup,dados
63|objeto|Instancia concreta de uma classe criada na programacao orientada a objetos.|Criamos um objeto do tipo palavra para manipular os dados lidos.|Informatica|classe,instancia,programacao,codigo,estrutura
64|operador|Simbolo que instrui o compilador a realizar uma acao matematica ou logica.|O operador de soma em C e representado pelo caractere mais.|Informatica|simbolo,soma,logica,codigo,expressao
65|oraculo|Sistema ou base de dados externa que fornece informacoes confiaveis.|O motor de busca funciona como um oraculo para tirar duvidas.|Quotidiano|busca,resposta,conhecimento,informacao,verdade
66|parametro|Variavel recebida por uma funcao para ser usada durante a sua execucao.|A funcao de busca recebe a palavra como parametro de entrada.|Informatica|funcao,variavel,argumento,codigo,entrada
67|perfume|Liquido aromatico com cheiro agradavel usado para perfumar o corpo.|Recebi um perfume muito cheiroso no meu dia de aniversario.|Quotidiano|cheiro,aroma,frasco,cosmetico,presente
68|porta|Abertura que permite a entrada e saida de pessoas de um compartimento.|Fechei a porta da sala de estudo para evitar o barulho do corredor.|Quotidiano|entrada,saida,casa,sala,chave
69|quadro|Superficie lisa usada por professores para escrever e desenhar nas aulas.|O professor desenhou a estrutura da árvore Trie no quadro.|Quotidiano|aula,escola,giz,professor,desenho
70|query|Instrucao de consulta enviada a uma base de dados para extrair informacao.|Escrevi uma query para listar todos os utilizadores ativos.|Informatica|consulta,sql,dados,busca,base
71|queue|Termo em ingles para a estrutura de dados do tipo fila.|A queue processa os elementos na ordem em que eles chegam.|Informatica|fila,estrutura,fifo,dados,elemento
72|ram|Memoria volatil de acesso rapido usada pelo sistema operativo.|O programa precisa de memoria RAM suficiente para carregar a árvore.|Informatica|memoria,hardware,rapidez,volatil,computador
73|rede|Conjunto de computadores e dispositivos interligados que partilham recursos.|A rede da faculdade permite o acesso aos servidores locais.|Informatica|conexao,internet,cabo,router,partilha
74|relogio|Dispositivo usado para medir e indicar o tempo em horas e minutos.|Olhei para o relogio e percebi que ja era muito tarde.|Quotidiano|tempo,hora,minuto,pulso,despertador
75|servidor|Computador potente que fornece servicos e dados a outros computadores clientes.|O site do dicionario esta alojado num servidor Linux cloud.|Informatica|computador,rede,servico,cloud,cliente
76|smartphone|Telemovel inteligente com acesso a internet e capacidade de correr apps.|Uso o smartphone para ler os emails quando estou fora de casa.|Quotidiano|telemovel,telefone,internet,aplicacao,tecnologia
77|string|Cadeia de caracteres que representa texto numa linguagem de programacao.|A struct guarda a palavra e o significado em vetores do tipo string.|Informatica|texto,caractere,vetor,codigo,char
78|teclado|Periferico de entrada composto por teclas usado para digitar texto.|O teclado do meu computador tem o layout em portugues.|Informatica|periferico,hardware,teclas,digitar,entrada
79|telefone|Aparelho eletronico usado para transmitir som e voz a longa distancia.|O telefone da secretaria esteve a tocar durante toda a manha.|Quotidiano|chamada,voz,comunicacao,contacto,som
71|televisao|Aparelho eletronico com ecra que recebe e exibe sinais de video e audio.|Gostamos de ver o telejornal na televisao da sala de jantar.|Quotidiano|ecra,video,audio,canal,entretenimento
81|url|Endereco virtual exclusivo que indica a localizacao de uma pagina web.|Copia o URL do site e envia por mensagem para o grupo.|Informatica|endereco,site,web,link,internet
82|utilizador|Pessoa que interage e utiliza um sistema informatico ou aplicacao.|O sistema valida se o utilizador introduziu uma senha valida.|Informatica|cliente,pessoa,login,conta,perfil
83|uva|Fruto da videira de formato arredondado usado para produzir vinho.|Comprei um cacho de uvas doces no mercado esta semana.|Quotidiano|fruta,alimento,vinho,videira,doce
84|variavel|Espaco reservado na memoria para armazenar um valor que pode mudar.|Declarei uma variavel do tipo inteiro para contar as palavras.|Informatica|memoria,valor,codigo,inteiro,ponteiro
85|vetor|Estrutura de dados que armazena elementos do mesmo tipo de forma sequencial.|A struct usa um vetor de strings para as palavras relacionadas.|Informatica|array,estrutura,dados,indice,sequencia
86|video|Ficheiro ou transmissao de imagens em movimento acompanhadas de som.|Assisti a um video tutorial que explica como funciona a árvore Trie.|Quotidiano|imagem,filme,som,ficheiro,reproducao
87|web|Sistema de paginas interligadas por links acessivel atraves da internet.|O desenvolvimento web exige conhecimentos de html css e javascript.|Informatica|internet,site,pagina,rede,www
88|while|Estrutura de repeticao baseada numa condicao testada no inicio do bloco.|O loop while continua a ler enquanto existirem linhas no ficheiro.|Informatica|loop,repeticao,codigo,condicao,controle
89|wifi|Tecnologia de rede sem fios que permite a conexao de dispositivos.|O sinal de wifi na sala de aulas esta muito fraco hoje.|Quotidiano|rede,internet,semfios,conexao,router
90|xml|Linguagem de marcacao extensivel usada para estruturar e transportar dados.|O ficheiro xml continha a configuracao inicial da aplicacao.|Informatica|dados,marcacao,estrutura,ficheiro,formato
